Alert, AlertCommand
Create Tools, CAMCreateToolsCommand
Delete Folders, CAMDeleteFoldersCommand
Delete Libraries, CAMDeleteLibrariesCommand
Delete Tools, CAMDeleteToolsCommand
Duplicate Libraries, CAMDuplicateLibrariesCommand
Edit Folders, CAMEditFoldersCommand
Edit Libraries, CAMEditLibrariesCommand
Edit Tools, CAMEditToolsCmdCommand
Export Libraries, CAMExportLibrariesCommand
Import Libraries, CAMImportLibrariesCommand
SetToolGuid, CAMSetToolGuidCommand
SetRefToolGUID, CAMSetRefToolGUIDCommand
PresetToolLibraryActions, CAMPresetToolLibraryActionsCommand
ClearToolLibraryActions, CAMClearToolLibraryActionsCommand
Import 3D Tool, CAMImport3DToolCommand
SetMachine, CAMSetMachineCommand
SetPostScript, CAMSetPostScriptCommand
TestSimulationPlayerCmd, CAMTestSimulationPlayerCmd
Preview Machine Movements, MachineBuilder::ArmPreview
Move Components, MachineBuilder::MoveComponents
Save As, MachineBuilder::SaveAs
Machine Builder, MachineBuilder::Start
Finish, MachineBuilder::Stop
Edit Machine Configuration, MachineBuilder::MachineEdit
Preview Machine Movements, MachineBuilder::Preview
Select Machine, MachineBuilder::MachineSelection
Set Up Machine Model, MachineBuilder::ModelSelection
New Offline Drawing Item, NewPLMOfflineFusionDrawingItemBasedFusionCommand
New Drawing, NewDrawingMenuCommand
Create Drawing, FusionDrawingCreateFromComponentsCommand
From Design, NewFusionDrawingDocumentCommand
New Drawing Template, NewFusionDrawingTemplateCommand
Dashboard Create Drawing, DashboardCreateFusionDrawingCommand
Export DWG, ExportFusionDrawingDocumentCommand
Export Sheet as DXF, FusionDrawingExportDXFCommand
Export PDF, FusionDrawingExportPDFCommand
Export PDF, FusionDrawingExportSinglePDFCommand
Export PDF, FusionDrawingExportSelectedSheetsPDFCommand
Output Drawing Template, ExportFusionDrawingTemplateCommand
Export CSV, FusionDrawingExportPartsListCommand
Undo, FusionDrawingUndoCommand
Redo, FusionDrawingRedoCommand
Base View, FusionDrawingViewBaseCommand
Base View Placeholder, FusionDrawingViewBaseTemplateCommand
Edit View, FusionDrawingViewEditCommand
Break View, FusionBrokenViewCommand
Broken View Edit, FusionBrokenViewEditCommand
Linear Dimension, FusionDrawingLinearDimensionCmd
Aligned Dimension, FusionDrawingAlignedDimensionCmd
Angular Dimension, FusionDrawingAngularDimensionCmd
Radius Dimension, FusionDrawingRadialDimensionCmd
Baseline Dimension, FusionDrawingBaselineDimensionCmd
Chain Dimension, FusionDrawingChainDimensionCmd
Ordinate Dimension, FusionDrawingOrdinateDimensionCmd
Arc Length Dimension, FusionDrawingArcDimensionCmd
Edge Extension, FusionDrawingEdgeExtensionCmd
Dimension Break, FusionDrawingDimensionBreakCmd
Add Dimension Break, FusionDrawingAddDimensionBreakCmd
Remove Dimension Break, FusionDrawingRemoveDimensionBreakCmd
Auxiliary View, FusionDrawingViewAuxiliaryCommand
Arrange Dimensions, FusionDrawingDimensionArrangeCmd
Flip Arrows, FusionDrawingFlipDimArrowCmd
Flip Arrows, FusionDrawingFlipDimArrowCntxMenuCmd
Stack Dimensions, FusionDrawingDimensionStackArrangeCmd
Align Dimensions, FusionDrawingDimensionAlignArrangeCmd
Text, FusionDrawingMTextCommand
Leader Note, FusionDrawingLeaderCommand
Bend Note, FusionDrawingBendNoteLeaderCommand
Hole and Thread Note, FusionDrawingHoleThreadNoteLeaderCommand
Note, FusionDrawingNoteCommand
Leader, FusionDrawingArrowCommand
Table, FusionDrawingTableCommand
Edit Table Text, FusionDrawingTableTextEditCommand
Table, FusionDrawingTableEditCommand
Center Line, FusionDrawingCenterlineCommand
Center Mark, FusionDrawingCentermarkCommand
Center Mark Pattern, FusionDrawingCenterPatternCommand
Center Mark Pattern, FusionDrawingCenterPatternEditCommand
Diameter Dimension, FusionDrawingDiameterDimensionCmd
Jogged Radial Dimension, FusionDrawingJoggedRadiusDimensionCmd
Dimension, FusionDrawingSingleDimensionCmd
Simple Section View, FusionDrawingViewSimpleSectionCommand
Section View, FusionDrawingViewSectionCommand
Detail View, FusionDrawingViewDetailCommand
Projected View, FusionDrawingViewProjectCommand
Projected View Placeholder, FusionDrawingViewProjectTemplateCommand
Move, FusionDrawingMoveCmd
Rotate, FusionDocRotateCmd
Edit Hatch, FusionDrawingHatchEditCmd
Reset, FusionDocRestoreDefaultsCmd
Edit Dimension, FusionDrawingDimensionEditCmd
Delete, FusionDrawingEraseCmd
Delete, FusionDocDeleteCmd
Pan, FusionDrawingPanCmd
Zoom Window, FusionDrawingZoomCmd
Fit, FusionDrawingFitCmd
Reassociate, FusionDrawingDimReassociateCmd
Reassociate, FusionDrawingSmartObjReassociateCmd
Reassociate, FusionDrawingDisabledReassocCmd
Reassociate, FusionDrawingAcmSymbolReassocCmd
Reassociate, FusionDrawingCustomLeaderReassociateCmd
Continue, FusionDrawingContinueCmd
Edit Title Block, FusionDrawingTitleBlockEditCommand
Parts List, FusionDrawingCreatePartsListCommand
Table, FusionDrawingNewTableCommand
Table Placeholder, FusionDrawingNewTableTemplateCommand
Custom Table, FusionDrawingEmptyTableCommand
Parts List, FusionDrawingPartsListTableCommand
Bend Table, FusionDrawingBendTableCommand
Revision History, FusionDrawingRevisionTableCommand
Bend Identifier, FusionDrawingBendIDCommand
Hole Table, FusionDrawingHoleTableCommand
Balloon, FusionDrawingBalloonCommand
Balloon, FusionDrawingSplineBalloonCommand
Renumber, FusionDrawingRenumberCommand
Align Balloons, FusionDrawingAlignBalloonCommand
Edit Text, FusionDrawingMTextEditCommand
Edit Leader Text, FusionDrawingMLeaderContentEditCommand
GripStretch, FusionDrawingGripStretchCommand
Revision Cloud, FusionDocRevCloudCommand
New Title Block, FusionDrawingNewTitleBlockCommand
Edit Title Block, FusionDrawingBlockEditCommand
Finish Title Block, FusionDrawingBlockCloseCommand
Line, FusionDrawingLineCommand
Center Radius Circle, FusionDrawingCircleCommand
CircleDiameter, FusionDrawingCircleDiameterCommand
Circle2Point, FusionDrawingCircle2PointCommand
Circle3Point, FusionDrawingCircle3PointCommand
2-Point Rectangle, FusionDrawingRectangleCommand
3-Point Arc, FusionDrawingArcCommand
ArcCenter, FusionDrawingArcCenterCommand
ArcTangent, FusionDrawingArcTangentCommand
Ellipse, FusionDrawingEllipseCommand
Copy, FusionDrawingCopyCommand
Offset, FusionDrawingOffsetCommand
Trim, FusionDrawingTrimCommand
Extend, FusionDrawingExtendCommand
Attribute, FusionDrawingAttDefCommand
Attribute Definition Edit, FusionDrawingAttEditCommand
Legacy Text Edit, FusionDrawingLegacyTextEditCommand
Edit Border, FusionDrawingBorderEditCommand
Finish Border, FusionDrawingBorderCloseCommand
Measure, FusionDrawingMeasureCommand
Datum Identifier, FusionDrawingDatumIdCmd
Symbol Edit, FusionDrawingSymbolEditCmd
Feature Control Frame, FusionDrawingFeatureControlFrameCmd
Surface Texture, FusionDrawingSurfaceTextureCmd
Welding, FusionDrawingWeldSymbolCmd
Taper and Slope, FusionDrawingTaperSlopeSymbolCmd
Get Latest, FusionDocUpdateCommand
Choose Version, FusionDocChooseVersionCommand
Show/Hide, FusionDrawingShowHideCommand
Suppress/UnSuppress, FusionDrawingSuppressUnsuppressCommand
Suppress, FusionDrawingSuppressCommand
Unsuppress, FusionDrawingUnsuppressCommand
Show All Components, FusionDrawingShowAllCommand
Show All Components, FusionDrawingShowAllChildCommand
Unsuppress All Components, FusionDrawingUnsuppressAllCommand
Unsuppress All Components, FusionDrawingUnsuppressAllChildCommand
Suppress All Except Selected, FusionDrawingSuppressAllExceptSelectedCommand
Capture Image, FusionDocScreenshotCmd
Open, OpenRelatedDesignCommand
SmartSheet, FusionDrawingSmartSheetCommand
SmartDrawing, FusionDrawingSmartDrawingCommand
Change Document Settings, FusionChangeDocSettingCommand
Import Document Settings, FusionImportDocSettingsCommand
Change Document Settings, FusionChangeMultiDocSettingCommand
Change Text Height Group, FusionChangeTextHeightGroupCommand
Change Font, FusionChangeFontCommand
Change Line Width Group, FusionChangeLineWidthGroupCommand
Change Dimension Units, FusionChangeDimensionUnitsCommand
Change Revision Scope, FusionChangeRevisionScopeCommand
Sheet Size, FusionChangeSheetSettingCommand
Change Sheet Settings, FusionChangeMultiSheetSettingsCommand
Change Sheet Size, FusionChangeSheetSizeCommand
Change Title Block, FusionChangeTitleBlockCommand
Change Display Border, FusionChangeDisplayBorderCommand
Change Display Title Block, FusionChangeDisplayTitleBlockCommand
Show/Hide, FusionChangeBorderVisibilityCommand
Show/Hide, FusionChangeTitleBlockVisibilityCommand
Title Blocks, FusionTitleBlockManagementCommand
Edit Properties, FusionEditPropertiesCommand
Reset Properties, FusionResetPropertiesCommand
Revision Marker, FusionDrawingRevMarkerCommand
Revision Marker Edit, FusionDrawingRevMarkerEditCommand
Switch Configuration, SwitchConfigurationCommand
Undo, DrawingUndoCommand
Redo, DrawingRedoCommand
Quick Add, FusionDrawingSheetNewCommand
Add Sheet, FusionDrawingSheetAddCommand
Activate Sheet, FusionDrawingSheetActivateCommand
Delete Sheet, FusionDrawingSheetDeleteCommand
Delete Sheets, FusionDrawingMultiSheetDeleteCommand
Rename Sheet, FusionDrawingSheetRenameCommand
Reorder Sheet, FusionDrawingSheetReorderCommand
Duplicate Sheet, FusionDrawingSheetDuplicateCommand
Drawing Debug, FusionDrawingDebugCommand
Print..., FusionDrawingPrintCommand
Print, FusionDrawingPrintSingleSheetCommand
Print, FusionDrawingPrintSelectedSheetsCommand
Insert Image, FusionDrawingImageInsertCommand
Image, FusionDrawingBlockEditorImageInsertCommand
Insert Image, FusionDrawingTemplateImageInsertCommand
Image, FusionDrawingImageEditCommand
Properties, FusionDrawingBlockRefEditCommand
Feature Toggle..., FusionDrawingFeatureToggleCommand
PARTS LIST, FusionDrawingPartsListEditCommand
BEND TABLE, FusionDrawingBendTableEditCommand
REVISION HISTORY, FusionDrawingRevisionTableEditCommand
HOLE TABLE, FusionDrawingHoleTableEditCommand
ORIGIN, FusionDrawingOriginSymbolEditCommand
Create Sketch, FusionDrawingSketchCommand
Finish Sketch, FusionDrawingSketchCloseCommand
Show/Hide, SketchShowHideCommand
Rename Sketch, FusionDrawingSketchRenameCommand
Cut, FusionDocCutSketchCommand
Copy, FusionDocCopySketchCommand
Paste, FusionDocPasteSketchCommand
Copy, FusionDocCopyMtextCommand
Cut, FusionDocCutMtextCommand
Paste, FusionDocPasteTextCommand
Paste, FusionDocPasteCustomMTextCommand
Cut, FusionDocCutGeomEntityCommand
Copy, FusionDocCopyGeomEntityCommand
Paste, FusionDocPasteGeomEntityCommand
Paste, FusionDocPasteExternalCustomTableCommand
Copy, FusionDocCopyCustomTableCommand
Paste, FusionDocPasteCustomTableCommand
Cut, FusionDocCutDefaultCommand
Copy, FusionDocCopyDefaultCommand
Paste, FusionDocPasteDefaultCommand
Delete, FusionDrawingSketchDeleteCommand
Edit Sketch, FusionDrawingSketchEditCommand
Edit Palette Linetype, EditPaletteLinetypeCommand
Edit Palette Lineweight, EditPaletteLineweightCommand
Edit Palette Color, EditPaletteColorCommand
Toggle Other Geometry, TogglePaletteOtherGeometryCommand
Toggle Palette Snap, TogglePaletteSnapCommand
Toggle Palette Grid, TogglePaletteGridCommand
Toggle Palette Border, TogglePaletteBorderCommand
Toggle Palette Sheet, TogglePaletteSheetCommand
Update, FusionDrawingUpdateLinkTable
Break, FusionDrawingBreakLinkTable
Change Zoom Level, PublisherChangeZoomLevelCmd
Activate Storyboard, PublisherActivateStoryboardCommand
Rename Storyboard, RenameStoryboardCmd
Transform Components, PublisherMoveComponentsCommand
Restore Home, PublisherRestoreHomeCommand
Auto Explode: One Level, PublisherExplodeDirectChildrenCommand
Auto Explode: All Levels, PublisherExplodeAllPartsCommand
Manual Explode, PublisherManualExplodeCommand
Delete, PublisherDeleteCommand
Delete Actions, PublisherDeleteActorCommand
Copy, PublisherCopyCommand
Paste, PublisherPasteCommand
Move Steps/Storyboards, PublisherMoveSequenceEntryCommand
Show/Hide, PublisherVisibilityToggleCmd
Appearance, PublisherAppearanceCommand
Change Material Scope, PublisherScopeMaterialCommand
Toggle Material, PublisherMaterialToggleCommand
Duration, PublisherDurationCmd
Edit Start/End, PublisherEditActionCmd
Edit Start, PublisherEditSmartObjectActionCmd
Camera Change, PublisherCreateCameraActionCmd
Reverse, ReverseSequenceEntryCmd
Rename, RenameStoryboardShellCmd
Align start time, AlignActionStartTimesCmd
Align end time, AlignActionEndTimesCmd
Select All After, SelectAllAfterCmd
Select All Before, SelectAllBeforeCmd
Change Action Start Time, PublisherChangeActionStartTimeCmd
Change Action End Time, PublisherChangeActionEndTimeCmd
Move Action, PublisherMoveActionCmd
View, PublisherToggleCameraRecordingCmd
Expand, PublisherExpandCompositeActionsCmd
Reorder Actor, ReorderActorCommand
Publish Video, ExportVideoCommand
Find in Browser, PublisherFindInBrowser
Find in Window, PublisherFindInWindow
Edit Application Settings, ApplicationSettingsEditCmd
New Storyboard, PublisherCreateStoryboardCommand
Edit Action, PublisherEditTransformActionCommand
From Animation, PublisherNewDrawingDocumentCommand
Isolate, PublisherIsolateCmd
Unisolate, PublisherUnisolateCmd
Create Selection Set, PublisherCreateSelectionGroupCmd
Activate Config, PublisherActivateConfigRow
Create Callout, CalloutCommand
Move Callout, DragCalloutCmd
Edit Callout, CalloutEditCommand
Show/Hide Trail Lines, PublisherTrailVisibilityCommand
Show All Trail Lines, PublisherTrailShowAllCommand
Hide All Trail Lines, PublisherTrailHideAllCommand
Move Trail Line, TrailDragCmd
New Electronics Design, NewElectronDesignMenuCommand
New PCB, NewElectronPcbDocumentCommand
New Schematic, NewElectronSchDocumentCommand
New Electronics Library, NewElectronLbrDocumentCommand
Push to 3D PCB, Electron::Pcb3DViewAdvanced
Configure 3D PCB, PCB3DConfigCmd
Push to 2D PCB, PCBExportBrdCmd
Link to 2D PCB, PCBLinkToBrdCmd
3D Package Editor, Package3DCmd
Finish, Package3DStop
Create New Package, Package3DCreateCmd
Remove 3D PCB Link, RemovePCB3DLinkCmd
Create Footprint, FootprintSketchCreateCmd
New Electronics Design, NewElectronDesignDocumentCommand
Switch to PCB document, SwitchPcbDocCmd
Switch to Schematic document, SwitchSchDocCmd
Get All Latest, GetLatestElectronCmd
Get Latest PCB, GetLatestPcbCmd
Get Latest Schematic, GetLatestSchCmd
Launch the undo command, LaunchUndoCmdDef
Launch the redo command, LaunchRedoCmdDef
Reference to a PCB document, ReferenceToPCBCmd
Reference to a Schematic document, ReferenceToSCHCmd
Remove PCB Link, RemovePCBLinkCmd
Remove Schematic Link, RemoveSCHLinkCmd
Save all command, ElectronSaveAllCmd
Save as all linked files command, ElectronSaveAsAllCmd
Save BOM data, SaveBOMDataCmd
Export PCB Data for Ansys, AnsysCmd
Export ODB++ Output, CAMOdbExportCmd
Show Editor Side Panel, EditorSidePanelOpenCommand
Hide Editor Side Panel, EditorSidePanelCloseCommand
Show Electron Design Description, ShowElectronDescriptionCommand
Hide Electron Design Description, HideElectronDescriptionCommand
Show Content Manager Panel, ContentManagerPanelOpenCommand
Hide Content Manager Panel, ContentManagerPanelCloseCommand
Show Design Manager, ShowElectronDesignManagerCommand
Hide Design Manager, HideElectronDesignManagerCommand
Show Inspector, ShowElectronInspectorCommand
Hide Inspector, HideElectronInspectorCommand
Show Analyze Signal, ShowElectronAnalyzeSignalCommand
Hide Analyze Signal, HideElectronAnalyzeSignalCommand
Show Display Layers Panel, ShowElectronLayersPanelCommand
Hide Display Layers Panel, HideElectronLayersPanelCommand
Show Errors Panel, ShowElectronErrorsPanelCommand
Hide Errors Panel, HideElectronErrorsPanelCommand
Show Command Guidance, ShowCommandGuidanceCommand
Hide Command Guidance, HideCommandGuidanceCommand
Show Selection Filter, ShowElectronSelectionFilterCommand
Hide Selection Filter, HideElectronSelectionFilterCommand
Show Sheets, ShowElectronSheetsCommand
Hide Sheets, HideElectronSheetsCommand
Updates Eagle WIP libraries version information, UpdateEagleLibrariesVersions
Updates Eagle WIP libraries information, RefreshEagleWIPLibraryCmd
Deletes Eagle WIP library information, DeleteEagleWIPLibraryCmd
Set focus on EAGLE command line bar, Electron::FocusEagleCommandLine
Push Vias, TogglePushViasCmd
ViolationMode, ViolationModeCommand
Ignore Violators, IgnoreViolatorsCommand
Push Violators, PushViolatorsCommand
Walkaround Violators, WalkaroundViolatorsCommand
Import sch and brd command, ImportSCHAndBRDCmd
Shortcuts, Electron::Shortcuts
Import eagle files as electronics design, ElectronicsDesignImportCmd
Add, Electron::AddPart
Analyze Signal, Electron::AnalyzeSignal
Place Component, Electron::ToggleAddPanel
Design Block, Electron::AddDesignBlock
Align, Electron::Align
Arc, Electron::Arc
Arrange, Electron::Arrange
Attribute, Electron::Attribute
Autorouter, Electron::AutoRouter
Outline Arc, Electron::BoardShapeArc
Outline Circle, Electron::BoardShapeCircle
Outline Polyline, Electron::BoardShapePolyline
Outline Spline, Electron::BoardShapeSpline
Bill of Materials, Electron::Bom
Add Bus, Electron::Bus
Break Out Bus, Electron::BusBreakOut
Export Gerber, NC Drill, Assembly and Drawing Outputs, Electron::CAMExport
CAM Preview, Electron::CAMPreview
CAM Processor, Electron::CAMProcessor
Change, Electron::Change
Circle, Electron::Circle
Class, Electron::Class
Copy, Electron::Copy
Copy Format, Electron::CopyFormat
Cut, Electron::Cut
Delete, Electron::Delete
Dimension, Electron::Dimension
Display Layers, Electron::Display
DRC, Electron::DRC
ERC, Electron::ERC
Errors, Electron::Errors
Export Libraries, Electron::ExpLib
Fanout, Electron::Fanout
Flip Board, Electron::FlipBoard
Gate Swap, Electron::GateSwap
Grid Settings, Electron::Grid
Group, Electron::Group
Group with Polygon, Electron::GroupPolygon
Document Attributes, Electron::GlobalAttributes
Hole (NPTH), Electron::AddHole
Info, Electron::Info
Insert Design Block, Electron::InsertDesignBlockToSch
Insert Design Block, Electron::InsertDesignBlockToPCB
Insert DXF/DWG, Electron::InsertDxf
Insert Electronic Design, Electron::InsertElectronicDesignToSch
Insert Electronic Design, Electron::InsertElectronicDesignToPCB
Insert 2D PCB, Electron::Insert2DPCB
Insert Schematic, Electron::InsertSch
Invoke, Electron::Invoke
IPC-D-356 Netlist, Electron::IpcNetlist
Junction, Electron::Junction
Label, Electron::Label
Layer, Electron::Layer
Layer Stack Manager, Electron::LayerStack
Line, Electron::Line
Unlink from managed library on library.io, Electron::UnlinkLibrary
Lock, Electron::Lock
Lock All, Electron::LockAll
Lock Current Layer, Electron::LockCurrentLayer
Unlock All, Electron::UnlockAll
Push changes to managed library on library.io, Electron::CreateLibrary
Add Spice Model, Electron::AddSimModel
Mark Local Origin, Electron::Mark
Meander, Electron::Meander
Miter, Electron::Miter
Mirror, Electron::Mirror
Module, Electron::Module
Move, Electron::Move
Name, Electron::Name
Net, Electron::Net
Net Breakout, Electron::NetBreakout
Create New Symbol, Electron::NewSymbol
Create New Footprint, Electron::NewPackage
Create New Component, Electron::NewDevice
Optimize, Electron::Optimize
PTH Pad, Electron::Pad
PTH Pad Array, Electron::PadArray
Paint Roller, Electron::PaintRoller
Paste, Electron::Paste
Paste Pins, Electron::PastePins
Pattern, Electron::Pattern
PickAndPlace, Electron::PickAndPlace
Pin, Electron::Pin
Pin Array, Electron::PinArray
Break Out Pins, Electron::PinBreakout
Pin Swap, Electron::PinSwap
Polygon Shape, Electron::PShape
Polygon Pour, Electron::PPour
Polygon Cutout, Electron::PCutout
Polygon, Electron::Polygon
Hide all Polygon Pour fills, Electron::PolyHideFillAll
Re-fill Polygon Pours, Electron::PolyRefill
Polygon Pour from Outline, Electron::PolygonizeCopy
Show all Polygon Pour fills, Electron::PolyShowFillAll
Port, Electron::Port
Print, Electron::Print
QuickRoute Airwire, Electron::QuickRouteAirWire
QuickRoute Signal, Electron::QuickRouteSignal
QuickRoute Multiple, Electron::QuickRouteMultiWire
QuickRoute Smooth, Electron::QuickRouteSmooth
QuickRoute Guided, Electron::QuickRouteGuided
Ratsnest, Electron::Ratsnest
Rectangle, Electron::Rectangle
Redo, Electron::Redo
Redraw, Electron::ZoomRedraw
Remove Spice Model, Electron::RemoveSimModel
Replace, Electron::Replace
Reposition Attributes, Electron::RepositionAttributes
Replace Missing Fonts, Electron::ReplaceMissingFonts
Replace Missing Fonts With Proportional, Electron::ReplaceMissingFontsUseProportional
Replace Missing Fonts With Arial, Electron::ReplaceMissingFontsUseArial
Reroute, Electron::Reroute
Unroute, Electron::Ripup
Unroute All, Electron::RipupAll
Ripup Polygons, Electron::RipupAllPolygons
Unroute Connected, Electron::RipupConnected
Unroute Connected Same Layer, Electron::RipupConnectedSameLayer
Unroute Between Components, Electron::RipupElementToElement
Unroute Incomplete, Electron::RipupInComplete
Unroute Signal, Electron::RipupSignal
Unroute From-To, Electron::RipupFromTo
Rotate, Electron::Rotate
Route Manual, Electron::ManualRoute
Route Differential Pair, Electron::RouteDiffPair
Route Multiple, Electron::RouteMulti
Run ULP, Electron::RunULP
Run Script, Electron::RunScript
Link to managed library on library.io, Electron::LinkLibrary
Show, Electron::Show
Signal, Electron::Signal
Simulate, Electron::Simulate
Show Simulation Overlay, Electron::SimOpToggle
Voltage Probe, Electron::VProbe
Phase Probe, Electron::VpProbe
Analog Source Setup, Electron::SourceSetup
Digital Source Setup, Electron::DSourceSetup
Slice, Electron::Slice
SMD Pad, Electron::Smd
SMD Pad Array, Electron::SmdArray
Split, Electron::Split
Stop Command, Electron::StopCommand
Text, Electron::AddText
Toggle Single Layer View, Electron::ToggleSingleLayer
Undo, Electron::Undo
Unroute, Electron::Unroute
Unroute All, Electron::UnrouteAll
Unroute Connected, Electron::UnrouteConnected
Unroute Connected Same Layer, Electron::UnrouteConnectedSameLayer
Unroute Between Components, Electron::UnrouteElementToElement
Unroute Incomplete, Electron::UnrouteInComplete
Unroute Signal, Electron::UnrouteSignal
Unroute From-To, Electron::UnrouteFromTo
Pull changes from managed library on library.io, Electron::UpdateLibrary
Open Library Manager, Electron::LibraryManager
Update design from library, Electron::UpdateDesignFromLibrary
Update design from all libraries used in design, Electron::UpdateDesignFromAllLibraries
Value, Electron::Value
Assembly Variant, Electron::AssemblyVariant
Via, Electron::Via
Wire, Electron::Wire
Zoom In, Electron::ZoomIn
Zoom Out, Electron::ZoomOut
Zoom Window, Electron::ZoomRect
Zoom to Fit, Electron::ZoomToFit
Synchronize, Electron::Synchronize
Add Custom 3D Model, Electron::AddCustom3DModel
Edit Custom 3D Model, Electron::EditCustom3DModel
Remove Custom 3D Model, Electron::RemoveCustom3DModel
Expand All Children, MSFCmnExpandCommand
Collapse All Children, MSFCmnCollapseCommand
Automatic Update, MSFNestAutoUpdateCmd
Create Nest, SDK.MAGNestEditNestCmd.Create
Sheet Text, SDK.MAGNestDisplayCmd.SheetText
Source Orientation, SDK.MAGNestDisplayColorCmd.SourceOrientation
3D Compare, SDK.MAGNestRepresentationCmd.3DCompare
Extra Geometry, SDK.MAGNestDisplayCmd.ExtraGeometry
3D Extruded, SDK.MAGNestRepresentationCmd.3DExtrude
Next, SDK.MAGNestViewCmd.Next
Properties, SDK.MAGNestShapeCmd.Context
Paste, SDK.MAGFeatPasteCmd.PasteCopied
Save Results, SDK.MAGNestCalculateCmd.Save
Inspect, SDK.MAGNestInfoPanelCmd.Context
Open, SDK.MSFNestOpenSourceCmd.Open
Process
Material Library, SDK.MAGMatLibraryCmd.CreateNesting
Sheet Borders, SDK.MAGNestDisplayCmd.SheetGeometry
Save All Results, SDK.MAGNestSaveCmd.SaveAll
Update All, SDK.MAGFeatUpdateCmd.UpdateAll
Process Material Library, SDK.MAGMatLibraryCmd.FusionNesting
Edit Shape, SDK.MAGNestShapeCmd.Edit
Start Extract, SDK.MAGNestTranslateCmd.ContextExtract
Compare, SDK.MSFCmnFusionLaunchCommand.CompareCmd
Create Nest Kit, SDK.MAGNestAutoCreateKitsCmd.Create
Update All, SDK.MAGFeatUpdateCmd.AutoUpdateNoDelay
Bind All, SDK.MAGNestBindUnbindPropertyCmd.ShapeBindAll
Save All Results, SDK.MAGNestCalculateCmd.SaveAll
Edit Nest Kit, SDK.MAGNestKitsCmd.Edit
Find in Window, SDK.MAGFeatAutoZoomCmd.Create
Open, SDK.MAGFeatOpenExternalLinkCmd.Open
Calculate, SDK.MAGNestCalculateCmd.Calculate
Delete, SDK.MAGFeatDeleteCmd.DeleteSelected
Shapes, SDK.MAGNestSelectionCmd.Shapes
Source, SDK.MAGNestDisplayColorCmd.Source
Generate, SDK.MAGNestCalculateCmd.Generate
Default Folder, SDK.MAGFeatDefaultFolderCmd.SetDefault
Mirror, SDK.MAGNestDisplayColorCmd.Mirror
Show Extraction Errors, SDK.MAGNestShowTranslateErrorDlgCmd.Show
Create Nest Kit, SDK.MAGNestKitsCmd.Create
Wireframe, SDK.MAGNestDisplayCmd.Wireframe
Hide All Sources, SDK.MAGNestGeoSourcesCmd.Hide
Sources, SDK.MAGNestSelectionCmd.Sources
Compare, SDK.MSFCmnFusionLaunchCommand.MSFNestCompareNewCmd
Show All Sources, SDK.MAGNestGeoSourcesCmd.Show
First, SDK.MAGNestViewCmd.First
Automatic
Update, SDK.MAGFeatAutoUpdateCmd.AddInNestingUtility
Sheet Construction Points, SDK.MAGNestDisplayCmd.SheetConstructionPoint
Unbind All, SDK.MAGNestBindUnbindPropertyCmd.NestItemUnbindAll
Start, SDK.MAGNestCalculateCmd.Start
Update All, SDK.MAGFeatUpdateCmd.UpdateAllTruNest
Edit, SDK.MAGNestEditNestCmd.Edit
Visibility, SDK.MAGFeatObject.visible.Toggle
Stop, SDK.MAGNestCalculateCmd.Stop
Enabled, SDK.MAGFeatObject.enabled.Toggle
Create Manufacturing Model, SDK.MSFNestCreateWorkingModelCmd.Create
Sources, SDK.MAGNestTranslateCmd.Context
Segments, SDK.MAGNestSelectionCmd.Segments
2D, SDK.MAGNestRepresentationCmd.2D
Bind All, SDK.MAGNestBindUnbindPropertyCmd.NestItemBindAll
Export, SDK.MAGNestExportCmd.Export
Delete, SDK.MSFNestDeleteCmd.DeleteSelected
Duplicate, SDK.MAGFeatDuplicateCmd.DuplicateSelected
Update, SDK.MAGFeatUpdateCmd.UpdateSelection
Material and Packaging Presets, SDK.MSFNestSaveContainerDataCmd.Create
Construction Points, SDK.MAGNestDisplayCmd.ConstructionPoint
Add Folder, SDK.MAGFeatCreateFolderCmd.AddToSelected
Material, SDK.MAGNestDisplayColorCmd.Material
Previous, SDK.MAGNestViewCmd.Previous
Open, SDK.MAGNestOpenSourceCmd.Open
Delete All Sources, SDK.MAGNestGeoSourcesCmd.Delete
Edit Nest Study, SDK.MAGNestStudyCmd.Edit
Unbind All, SDK.MAGNestBindUnbindPropertyCmd.ShapeUnbindAll
Compare, SDK.MAGNestCompareCmd.Compare
Update All, SDK.MAGFeatUpdateCmd.AutoUpdate
Dimensions, SDK.MAGNestDisplayCmd.Dimensions
SDK Test Options, SDK.MAGTestOptionsCmd.Test
Annotations, SDK.MAGNestDisplayCmd.ExtraText
Providers, SDK.MAGNestUpdateAssemblyProviderCmd.Update
Geometry, SDK.MAGNestDisplayCmd.Geometry
Copy, SDK.MAGFeatCopyCmd.CopySelected
Auto-zoom inspect, SDK.MAGNestAutoZoomCmd.inspect
Report, SDK.MAGNestReportCmd.Show
Cancel, SDK.MAGNestCalculateCmd.Cancel
Create 3D Model, SDK.MSFNestCreateF3DCmd.Create
SDK Test, SDK.MAGTestMainCommand.Test
Rename, SDK.MAGFeatRenameCmd.RenameSelected
Auto-zoom off, SDK.MAGNestAutoZoomCmd.off
Default, SDK.MAGNestDisplayColorCmd.Default
Create Nest Study, SDK.MAGNestStudyCmd.Create
Refresh, SDK.MAGNestRefreshCmd.Refresh
Sheets, SDK.MAGNestSelectionCmd.Sheets
Fabrication Info, SDK.MAGNestDisplayCmd.FabricationInfo
